Lake,Salinity,TOC,Type,Reference
QHL,12.9,1.6,NaCl,Yang et al. (2016)
TSL,30.1,3.2,NaCl,Yang et al. (2016)
GHL1,30.6,1.2,NaCl,Yang et al. (2016)
GHL2,83.6,5.6,NaCl,Yang et al. (2016)
XDCL,159.6,0.2,NaCl,Yang et al. (2016)
DBXL,307.2,0.4,NaCl,Yang et al. (2016)
CKL,324.8,1.9,NaCl,Yang et al. (2016)
BL1-1,329.7,8.8,MgSO4,This Study
BL2-1,204.6,7.9,MgSO4,This Study
BL2-2,246.8,6.5,MgSO4,This Study
BL2-23,110.7,6.4,MgSO4,This Study
BL4,320.3,5.9,MgSO4,This Study
SL,101.9,8.1,MgSO4,This Study
LCL1,160.6,3,NaCO3,This Study
LCL4,159.7,1.3,NaCO3,This Study
LCL5,192.4,1.6,NaCO3,This Study
K1,327.3,2.89,NaCl,Han et al. (2017)
K2,302.5,2.47,NaCl,Han et al. (2017)
K3,300,2.31,NaCl,Han et al. (2017)
K4,98.1,12.4,NaCl,Han et al. (2017)
C020,340,0.81,MgCl2,Oldenburg et al. (2000)
C030,340,0.46,MgCl2,Oldenburg et al. (2000)
C060,340,0.68,MgCl2,Oldenburg et al. (2000)
C160,340,0.45,MgCl2,Oldenburg et al. (2000)
BM005,340,0.78,MgCl2,Oldenburg et al. (2000)
BM080,340,0.62,MgCl2,Oldenburg et al. (2000)
